case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Property,2012,Tamil Nadu,Supreme,31,470,0.74,39.46
Family,2017,Tamil Nadu,District,21,414,0.33,24.3
Commercial,2012,Delhi,High,26,572,0.66,33.38
Family,2017,Karnataka,High,23,360,0.48,26.72
Criminal,2011,Maharashtra,District,24,452,0.56,35.37
Family,2017,Maharashtra,High,30,389,0.35,28.82
Commercial,2013,Maharashtra,High,5,684,0.66,23.94
Property,2010,Karnataka,Supreme,4,539,0.44,35.83
Civil,2011,Maharashtra,District,9,627,0.6,27.24
Family,2017,Uttar Pradesh,High,4,589,0.42,18.03
Property,2015,Uttar Pradesh,Supreme,6,676,0.88,31.62
Civil,2011,Maharashtra,District,17,655,0.64,31.3
Commercial,2011,Delhi,High,23,537,0.62,35.05
Civil,2022,Uttar Pradesh,High,31,214,0.4,39.9
Family,2010,Maharashtra,High,27,720,0.76,32.85
Commercial,2023,Tamil Nadu,District,37,618,0.76,36.74
Property,2015,Karnataka,High,7,689,0.52,18.67
Family,2012,Tamil Nadu,District,25,773,0.5,30.53
Criminal,2017,Karnataka,High,37,746,0.58,49.24
Family,2016,Uttar Pradesh,District,3,204,0.64,7.2
Family,2021,Uttar Pradesh,District,16,592,0.73,18.17
Civil,2013,Tamil Nadu,High,34,440,0.49,39.6
Family,2011,Delhi,District,34,684,0.45,35.77
Commercial,2021,Maharashtra,Supreme,38,724,0.35,56.19
Property,2018,Delhi,High,24,777,0.67,29.24
Criminal,2022,Maharashtra,Supreme,30,227,0.43,52.02
Civil,2012,Uttar Pradesh,District,22,530,0.49,30.42
Civil,2017,Maharashtra,District,35,584,0.44,36.36
Property,2023,Delhi,Supreme,15,458,0.3,31.11
Commercial,2010,Maharashtra,Supreme,39,424,0.37,56.08
Civil,2017,Karnataka,Supreme,26,573,0.43,46.16
Commercial,2013,Karnataka,High,14,709,0.72,33.68
Property,2018,Karnataka,District,5,312,0.39,13.53
Commercial,2020,Karnataka,Supreme,25,424,0.68,45.97
Commercial,2023,Delhi,District,4,252,0.59,19.05
Criminal,2012,Karnataka,District,19,493,0.52,33.49
Property,2020,Uttar Pradesh,High,36,397,0.54,36.11
Criminal,2018,Delhi,High,11,323,0.6,32.36
Civil,2012,Karnataka,High,18,548,0.82,28.99
Commercial,2017,Maharashtra,High,28,710,0.44,37.65
Criminal,2012,Delhi,High,34,688,0.71,46.64
Commercial,2022,Tamil Nadu,District,3,672,0.43,20.44
Criminal,2011,Maharashtra,District,33,497,0.45,42.1
Civil,2012,Delhi,District,4,503,0.88,19.81
Property,2022,Delhi,High,7,236,0.83,13.76
Property,2018,Tamil Nadu,High,21,407,0.84,21.63
Property,2019,Karnataka,High,26,253,0.77,23.79
Commercial,2018,Maharashtra,Supreme,10,619,0.84,38.49
Civil,2019,Uttar Pradesh,High,22,453,0.31,39.31
Commercial,2019,Tamil Nadu,District,31,537,0.59,29.83
Civil,2015,Maharashtra,High,37,360,0.31,41.01
Civil,2013,Delhi,District,10,334,0.73,20.96
Criminal,2012,Maharashtra,Supreme,35,659,0.61,54.03
Property,2021,Tamil Nadu,Supreme,32,237,0.89,41.63
Criminal,2022,Tamil Nadu,Supreme,10,482,0.56,48.12
Civil,2014,Uttar Pradesh,Supreme,35,652,0.44,53.59
Criminal,2017,Karnataka,High,21,715,0.31,39.34
Civil,2014,Maharashtra,High,30,357,0.87,37.32
Commercial,2020,Uttar Pradesh,District,8,298,0.75,16.1
Commercial,2014,Karnataka,Supreme,33,298,0.89,46.6
Family,2019,Tamil Nadu,High,23,360,0.49,28.84
Property,2018,Uttar Pradesh,High,33,765,0.72,31.21
Criminal,2010,Tamil Nadu,Supreme,26,487,0.7,46.95
Property,2011,Uttar Pradesh,Supreme,4,303,0.72,25.58
Property,2016,Tamil Nadu,High,31,737,0.79,34.52
Commercial,2014,Maharashtra,Supreme,22,520,0.34,59.36
Family,2019,Karnataka,Supreme,18,670,0.32,37.82
Criminal,2017,Karnataka,District,24,250,0.58,36.7
Family,2021,Maharashtra,District,24,513,0.82,21.99
Civil,2017,Maharashtra,High,39,463,0.76,36.89
Family,2012,Maharashtra,Supreme,7,302,0.35,33.16
Civil,2014,Tamil Nadu,Supreme,37,468,0.88,50.43
Family,2023,Tamil Nadu,District,32,319,0.46,24.21
Commercial,2019,Karnataka,Supreme,39,673,0.88,52.09
Property,2013,Karnataka,High,25,326,0.72,22.96
Property,2017,Delhi,Supreme,3,295,0.63,27.15
Property,2018,Delhi,District,27,687,0.86,24.58
Criminal,2020,Tamil Nadu,District,7,446,0.33,33.39
Property,2011,Delhi,Supreme,28,634,0.75,44.17
Property,2015,Maharashtra,Supreme,14,417,0.76,35.89
Family,2023,Karnataka,Supreme,23,750,0.51,50.24
Civil,2022,Delhi,District,12,299,0.33,24.19
Property,2011,Uttar Pradesh,District,33,641,0.6,34.71
Criminal,2014,Maharashtra,Supreme,18,535,0.69,48.69
Civil,2019,Uttar Pradesh,Supreme,30,359,0.86,42.3
Commercial,2019,Uttar Pradesh,District,35,626,0.86,36.0
Commercial,2011,Maharashtra,Supreme,5,776,0.88,35.0
Criminal,2018,Delhi,High,10,617,0.46,35.19
Family,2019,Karnataka,High,9,395,0.72,20.84
Commercial,2022,Maharashtra,District,38,476,0.88,31.41
Family,2013,Karnataka,District,38,593,0.55,37.04
Property,2018,Uttar Pradesh,High,37,747,0.52,43.83
Family,2022,Tamil Nadu,Supreme,34,389,0.64,46.78
Commercial,2013,Tamil Nadu,Supreme,25,416,0.44,43.93
Property,2021,Maharashtra,High,32,472,0.62,25.15
Property,2011,Uttar Pradesh,High,15,218,0.53,22.15
Property,2014,Karnataka,District,14,644,0.84,16.23
Civil,2018,Maharashtra,District,16,583,0.59,26.09
